,Job Name,Company,Salary,Rating,New Job,Apply Here
0,Python Engineer,"Ursus, Inc.",Not Disclosed,4.9,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CT8vBT9H5mqECx2dfLV_FONLPDKpIRssxVwtj05Tmm4rA5I0VNOPdM1oYsK66ov5pXwwZ9pBHUxn86wFnkOQj7J-ZkFYekJz6-8Dek9ty65EtSuUYZUk7i95Bwpzs-RVPWRb6-B3wSufJ1E2hJOaLMZGtXQFpuDCyrIpT1R5NCg5vfGnPvIMDLsIJ70A4-z_fxHpb8RoFmh_tMJghWIA_9-ocATaErh76L-tAgTGbuRO6iMNjpt3rZg4iwIHPP1kCbW4SMSTSgJJZD-3F9LZZUbyYLC5HCELkSEmQAgTgbX0gMQyK3bJwanY1KfzjqCE9yKC5cSKaGMFIX2P15T3LxmK8T4UBR-MK-AgR1jte9eCipFbpKbrD7lbUhMyniZ1qwkqMY2U2CrEyv2A06yFIB5NuPCNqaGaRX-zwSJyatMiHu4vwadNLaXyqbv_Cq8AwgfgRfFWdD1H2H0FCBL5jJAqdcdAaPrh3KqXly2TFrXXYdeXkvIvXTCPnxo7r7Wij6_oNxzWYNknhCJy_wm92H8YawwZuyS2rnxfGgxWVAd1fsjHegGWlYGZABHg4_mpS6kE1FXk44hv0OJZ773K7Ae4R9IWx9gUsFu-4HhxA2VU4EYiZUazvTYgzCZCb7GIJ3HBlwG6FO6RctbSTNfD8hmEm7rtIuEy0UXTr1eol4nTt8YbMjxTy-uhCzLIRkgd5LIwoOsD1ktIOMSXcsyrGui8jacoRIL1bLuO0BLUpaYG6RA-9MjFRisDHhrYe4kVZm5UMgpNU8FVSy-cdh2uMU7QnmdjLGdpWjYD1gGreKmPomCC74QJ5G-9RGu9A3hIhFT7FUqP9Z8-4AfgDLWuf3CEGeFrZocpT-BI_FS2v23fw2UhZ2MCAMVJFGAUAT2PLrHvZf1gWsYjgS_Awsj6bjoWuJpOIKC2us8dsaXOJuD89b2eI7cHn6L_FC-yAJ-DKg5mHFxum_56QG8NEpkRV1OJW8JqcSCC6QgCvOTu0pIg==&xkcb=SoCW-_M3auQcp7UENZ0LbzkdCdPP&p=0&fvj=0&vjs=3
1,Python Engineer,Insight Global,Not Disclosed,3.9,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCqc7l59Erwqc4yQsGO85_EIyRp-vDeUcy9Wz_8tCT1fchooRla2nSM7Tt9AC3kgca9tDrT1szAtGZwlYTES7I0E9ku9DVjA1yhYXpBX6aVZCC8N8w3QkzeE0Czr1221Qx2T-7JFp2zJxsD14zBIKamG-7qazhMWOIOVJuIAezfZcQQR9dkReo3RQlm4JWRWRqh8qTKmYRgtSz-euHqQRv6UoIrtsO__lTYQieGIlUvDDfsy_KCmJ1ONRsFRD2Zl7TwvSMgTn1ZJnZWsTj_2samJTuWUqbZk-jj7O3tzBE5XaN7MMf_oS9ZfKmkMFXIQlBFfGR_t6dAjIKa99I3uLxBX61VIAMXNKZ13o4Ad13zZMZ3PwS0MiIS9hDcLnaW7AApfo_-rHwzB-EF5I5TbvKCnO42wjiBuvCXSqejHOTcHZ&xkcb=SoAi-_M3auQcp7UENZ0KbzkdCdPP&p=1&fvj=0&vjs=3
2,Big Data Scientist - Python,"Ursus, Inc.",Not Disclosed,4.9,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CT8vBT9H5mqECx2dfLV_FONLPDKpIRssxVwtj05Tmm4rA5I0VNOPdM1oYsK66ov5onSfnPOsx8Mq1JH2oFcy4t3cSthJFTUL927QsA7PD9eDx4Kk4ZtwSQ-w3WLr4MbDH7Almf_cucniPzy3NGtKB7DJx__gQl_jHZaxD-MCYspDYwgrI4XnFJy-3H6pWk8qDUrv0NvwQkjCMtW4xCfDPb0H38yINAepUYpGqGoQXksQOQg6faIAheNotctG4AwIftBnrmQmoueg4EjCF6hmHF6WZjYqal7zNPVWTI2Mf9gZVeJ-Us6cHbIBtcIGjpRdHrP4VoSXdghF_cj3b7dbo_0gmc4Tl71qjOq006Qr8LuWNVRGXEtQKUCw-2vvWyAp9GC6kwUnby-5meQ0JiJhPCt-aVcHebw9n5FaeEIWqTZhTCezw64ukaP93MjYtaSrD6l3oa05CWDCxjOCQcCDm4nKJhL_emmDvlq5n3VDb1T8gscNST3__vpFT7goSy4zMsZt96PawHpkoprFi9uKGcdiXIiaaaE8RRtXE3_17gsttkwXVZMOQbGviHpSTU7biuzCJOnluufxsdQdUui4zsuflbpW2DFSfnm2xDVbMORxQQ0eD-gGiVsJuE7W_WYgMdq3esTNRXmaamnNgy5IJ-2IdQG371RZP9zTwPjsGWEqyqTemqjQ1PHqM0hYwtX9mg93AQClESb2OOtejYT4VTL8etFDyZ1GmPcqbioeFRkxbOCzMosZGtp9IeX-TmNr8HCGRU8Pp85ROItpA4YCoxlTxwtNGw5nBWJ9ba7UvbpnRodxga4c8C0mMpEGw8GHHz1PnDX_fzm_-H0W_YSH2AC9TK-ZfZYaH_Q-qOeUnDs7FdVPl-oPLX3SxCq7YcvHcK5gc5MfOSvWYtOiRxC7Uf41cpmYd_QuAXv4KQn6ZFg6zmN3Z5AdJU25OIZyfRb-llMcJOhRa_0EfHNyL4QU7tF58kmMtZ7vq36eUTV_PZGw==&xkcb=SoC_-_M3auQcp7UENZ0JbzkdCdPP&p=2&fvj=0&vjs=3
3,Software Engineer,CyberCoders,"$150,000 - $170,000 a year",3.7,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eoBlI4EFrmor2FYZMP3muM3q0nSV2L9yMhv8dKCDBVlL3VIS2Q9pOL_VcyPDa9QPocAY4giVFrWmalyA22wO_yNZDFGwcWInfobz001WuXO9tNWBFcuDLKJaSs-tRamtDn4aMdrWZKymj6e0yi3NCGZoFuAGsKXj71VqZ5tqtVV_ui5vPKYkXf4XQOaX4a38Ct7MWWLkbDwGhZii7yyLPzfsGOk6aEal08b889GvFUch9qVTOpMcMonX9T58p2vwCZehdATahVAt0JcTyA-5D0k7S7hT3xMEXWr1ItDIAqxwbdBA_fXLCYygbQkuTkDFzrh46VrmQY9Arz0uUfhtgYXXiO61KYTfnISga9VxHY-4F5PwmSav4CJ9p82wXz6g9ZplrD_etlq2Ubf9905Rk4VN-djKdBQJd9rk3WWvAz0tUAinaU2BeqE2lXvYqErmoH9OgHPz8Jr1vZCOuWhZikVQ8mPOZiowaIl2YtXqa7I9V8fAl88dsdb112zzkAvxLX8NAf0hrU6HKcfZ62CvnOslv9E9HI2124try3EeMJY_h1PPXaVzn7dY3azBmLeu3Lm-iujp_Q0hJE6hJQeq-ZPva7i_d0xT4TfQSMtVgCEsUoCeY4Ns3CwzQkcjR8Z4F9GM2ZQ3GTOXjNl1-sbM8Y-aLbCuOAOBaCJJXF64WUQj7OPePBEEyaX2ajt25lzBiIsrFPAMzH9VNAcwnW6kqH1eSjwngrnlPziF69lHm-Zhsc-q-_w6_feGXKKFL3E-OiHJ91-zfV5N0uqhwVY4TSS4vaFhSXsQ5aWTgPLPC2ciSYAZ5whauYo3I0-dwjd3JBGI1PMS2JJqsDDApZtTDCMLmiYKe4x_oWvbpq3riyfUNTAtothpTuEReU7kbwMQTduYAr7I-NU-LTPEqfyyeZ95a9yv08Wtuu8AcZqidhkte2WKSxgwCTA=&xkcb=SoAL-_M3auQcp7UENZ0IbzkdCdPP&p=3&fvj=0&vjs=3
4,Python Developer,OrangePeople,"Up to $100,000 a year",N/A,Yes,https://www.indeed.com/company/OrangePeople/jobs/Python-Developer-4b9728ebb8e3e1ef?fccid=d28b446181f5445a&vjs=3
5,Python Developer,Cognizant,Not Disclosed,3.9,No,https://www.indeed.com/rc/clk?jk=5f651824bba11b00&fccid=2df6a1e69a70a1e7&vjs=3
6,Python Engineer III,Iron Systems,Not Disclosed,3.3,Yes,https://www.indeed.com/rc/clk?jk=9692609ed0154544&fccid=39e7cc3fd9e2cd7d&vjs=3
7,Lab Technician - Actuator Prototype Assembly (Tesla Bot),Tesla,$25 - $40 an hour,3.4,No,https://www.indeed.com/company/Tesla/jobs/Lab-Technician-46d6f9b2279fda09?fccid=86e9be6ce380173e&vjs=3
8,Python Developer,IITmatrix,"$75,256 - $110,000 a year",N/A,Yes,https://www.indeed.com/company/IITMATRIX/jobs/Python-Developer-1d2828b65f1bd16d?fccid=079fa9ffc2a76b20&vjs=3
9,"Threat Analyst, Adult Nudity & Sexual Activity (ANSA)",TikTok,Not Disclosed,3.3,No,https://www.indeed.com/rc/clk?jk=ea93db9c80d0046c&fccid=caed318a9335aac0&vjs=3
