,Job Name,Company,Salary,Rating,New Job,Apply Here
0,Front-End Developer II,2NDNATURE Software INC.,"$90,000 - $115,000 a year",N/A,No,https://www.indeed.com/company/2nd-Nature-LLC/jobs/Front-End-Developer-b72a48979e629ccb?fccid=ed07b4f87a9c0ecf&vjs=3
1,Software Engineer,One Wheel,Not Disclosed,N/A,No,https://www.indeed.com/rc/clk?jk=899b2449593b8bb1&fccid=78298523a1f5c97e&vjs=3
2,People Scientist,Netflix,Not Disclosed,3.9,No,https://www.indeed.com/rc/clk?jk=492a15a0f5c4d896&fccid=66403b30a2c0d89c&vjs=3
3,Software Engineer I,Badger Meter,Not Disclosed,3.4,No,https://www.indeed.com/rc/clk?jk=51ad22dd2235be20&fccid=53258efdb7d26be9&vjs=3
4,Ocean Data Specialist (Edwards),University of California Santa Cruz,Not Disclosed,4.3,No,https://www.indeed.com/rc/clk?jk=200f2856161fae2d&fccid=a19f34e542f56d99&vjs=3
5,WordPress/Full-Stack developer,Cloud Brigade,"$70,000 - $100,000 a year",N/A,No,https://www.indeed.com/rc/clk?jk=e8a509f5f72d552d&fccid=f0841516b8344b36&vjs=3
6,QA Engineer,Procurant,Not Disclosed,N/A,No,https://www.indeed.com/rc/clk?jk=d5f925d25d8d5a04&fccid=8d1ec625b85862b4&vjs=3
7,Python Developer,Anlage,$40 - $50 an hour,N/A,No,https://www.indeed.com/company/Anlage/jobs/Python-Developer-6adf8bc08b83b0fb?fccid=db08a93824358b89&vjs=3
8,Lab Operations Technician,"21Tech, LLC",Not Disclosed,N/A,No,https://www.indeed.com/company/Talenr-Table/jobs/Lab-Operation-Technician-5046da0bd9d7be56?fccid=b51fb5fc85018e36&vjs=3
9,Python Engineer at Education Startup,Recruiting From Scratch,"$100,000 - $130,000 a year",N/A,No,https://www.indeed.com/rc/clk?jk=763e1768d85df4e7&fccid=09e02654c2f26bbd&vjs=3
10,Robotics QA Engineer,Neatleaf,Not Disclosed,N/A,No,https://www.indeed.com/rc/clk?jk=720d570c63da369e&fccid=dedbd2c490df7b04&vjs=3
11,Python Developer,Sofmen,Not Disclosed,N/A,No,https://www.indeed.com/rc/clk?jk=0b4f734af7890726&fccid=ac77e7cab23d4b1f&vjs=3
12,Software Quality Assurance Engineer II,Zero Motorcycles,Not Disclosed,3.6,No,https://www.indeed.com/rc/clk?jk=693dcf5412111d39&fccid=59b11ea321344b93&vjs=3
