,Job Name,Company,Salary,Rating,New Job,Apply Here
0,Linux Administrator,Infosys,Not Disclosed,3.9,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RWd7QYAIoobc2pe2PvbDUdHEC8jcMk84V0yUL6rdY1pWoNUzxAclfaQ9XhKUBMsouwoD6PqnuLO3FosSYnC6d-iiEbz3vx_VXdMFSTmaRSROOsXXKhbKHErHZxQFEe-CgLyQ162yK-L_on5FUTWrC7v29etqZpQh8YVkTdkh_w98j8-8FGliYlnI4zYlZksXmHOpwDQs5BOW5xz6Q1E_VIEhYSmtkMZsE6_OYLJ9xxg04KHP2chZ4sjUX9VJVtEPitK2hHX177H43yK0m0UzPtCFW6gGbqB2QD42ka7ht_YK27QzlOSM3DRz2I6Gyh7J3Q6DjI7JGcvcmkTNQq8I6cAZX_gqH89rpk5p01yRmqKDAhEjolU3FXRy0Gxm0TG3TQ5t-t_7_aHbUl6FOR7NJyG1Wcq4hJgSuphiyWc9rPWeqMXK8DXgGJDV_zmDJgIUAuScTjdB_7XAK07ZOEsTT6Lwbd2PeXRtJ0bIXX5WKYaKojnCMCyCNQA=&xkcb=SoAs-_M3a2Ojso6tgJ0LbzkdCdPP&p=0&fvj=0&vjs=3
1,"Deep Learning Performance Engineer, Autonomy Software",Tesla,Not Disclosed,3.4,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BkX03mv_qGbDFMol2YHqLRvzzvm2LmpzMO_FcYL_FtJlnJTzsjtFTdelRG5HbGrIdPa-2xOFtWhHVDM41sIqPjmfy1ZDKv55dx-1QAf9PatadgezFrid7zOZ3pdvEjvkYwLAqFmYT9ga5YjYW5rWhvT1UQoCvWe6S4udcwCH_yJr0xxyzB6bY3Am20mB193OqspyOGq59PBwF--4AfA17DCnkTNl4vyh7a8yavaMLqpYIZaiUZ096oE5jRhya7efLJLr9uUtmmGPl5ZTIVXwUjReLojjSUZDJVYEDhs-_yR90_U3Ob4ESqXzgrXEqA1JMjZwdvdjQGcjNQtcFLUzbBO_0ISKN2u8ogj_pWNXV9CS47fKG8Np_BQENkwIYW0h8oLr78_dgw6BLrmoQEy41dCwfFx8G6NpsoIxIZfBJ12Tp1Bfuwbw6hIOuQSvb-xeFHfiaKoIIaFuVLBo2jgtAx9KNwtPBR8t69g1Z-IEdhtbYVY8JhZ1rq&xkcb=SoCY-_M3a2Ojso6tgJ0KbzkdCdPP&p=1&fvj=0&vjs=3
2,Python Developer,NexWave Talent Management Solutions Pvt Ltd.,"$100,000 - $110,000 a year",N/A,Yes,https://www.indeed.com/company/NexWave-Talent-Management-Solutions-Pvt-Ltd./jobs/Python-Developer-127bdaf856647529?fccid=b5a838e2eb303c90&vjs=3
3,Python Developer,KWS Pvt. Ltd,"Up to $130,000 a year",N/A,Yes,https://www.indeed.com/company/KWS-Pvt.-Ltd/jobs/Python-Developer-a1007b87c4eb4cf4?fccid=eb6d234ae6e554eb&vjs=3
4,Firmware Security Engineer,SK Hynix America,Not Disclosed,3.8,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Abrx9CFNq8h6E2DwHfB_Rhh7I7Zzeh6upHWwlnZgZtLKQrrXvbNdxtsBsWXLiZKUK2NGanZhLwSm3SfUqW9l2d9h2ROm933Vj22Ko2TQ1i7ekg1i9EbGJUThavECfSAGGNri1dulif8Mw_FixqxjINoBfZjlAAFtG-C8229G1ENO-Ogu216W6FRokwbZleGBvomdwIJioB8TeKJ3ftZdL-tII-2rq3Qdm3UpwdWT6_aqczBuKGrD4vIJ7gASAAx0p-jQYRPsYN0OVv9Z67aS9R3KqsaHv3m8gF8efYTJvOKc0bV8b66NueQY5zKgBQWO5GNSBVpGnaTE-T3sbt78YKCopfz4RFgM-EyenbugHRIGnVUr_HxutiF9CzIxmxbTE5LEVL9jg1Jcy5KfP15TO8kcIhGBoFdx_wJl2fo_M1a2xJHoGJ-5P5CDnMcDUI8tzzHz0EhHS77DIkFgFsbkbBLeeAFB72T3_A5ZDA8dsqhbYPiTupGEXmLNXoBAObi6DOrcvzsfCTSGAODkrbVeU0&xkcb=SoB1-_M3a2OjsratgJ0LbzkdCdPP&p=4&fvj=1&vjs=3
5,Python Engineer,Ursus,Not Disclosed,4.9,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CT8vBT9H5mqECx2dfLV_FONLPDKpIRssxVwtj05Tmm4rA5I0VNOPdM1oYsK66ov5pXwwZ9pBHUxn86wFnkOQj7J-ZkFYekJz6-8Dek9ty65EtSuUYZUk7i95Bwpzs-RVPWRb6-B3wSufJ1E2hJOaLMZGtXQFpuDCyrIpT1R5NCg5vfGnPvIMDLsIJ70A4-z_fxHpb8RoFmh_tMJghWIA_9-ocATaErh76L-tAgTGbuRO6iMNjpt3rZg4iwIHPP1kCbW4SMSTSgJJZD-3F9LZZUbyYLC5HCELkSEmQAgTgbX0gMQyK3bJwanY1KfzjqCE9yKC5cSKaGMFIX2P15T3LxmK8T4UBR-MK-AgR1jte9eCipFbpKbrD7lbUhMyniZ1qwkqMY2U2CrEyv2A06yFIB5NuPCNqaGaRX-zwSJyatMiHu4vwadNLaXyqbv_Cq8AwgfgRfFWdD1H2H0FCBL5jJjFkx4ZSX9s82NNp7bneRXCFqzPltbjBK48X82NGy59ufOVhzpJ9EE1QfVVi1_pOVOPzUU56ToKwOCKEUq9CFrb7BGXZnWRWl_ky07QoVPi1hzWdU-7diC_wXvnlRc0n7lQv0PNBr_HAE2htWn6_IkonvRJ98jobWRY-4TCXHW__aKIJPouS-jX476rPblM8jn3ehsAQWYkjHFoWM1uRhAE_wsL3nAH6ru7T_xicuDmh2WxmADpBC5rpQBBuhEZM-yBHsSz_NTGdNdLUC3De8fUsd1GKOi1rlQVuRgu59YQHdisudwHpc07kGK7UAVa8yXEXK9khuZwTXtNrqmEEOVtheKTUj4AF6wWsY3BMNuE0e-Q4QXdGE3SadmRu2oW8MNpi96Iy7g9A8tjPspg2GBWJj1SzBqy7rod6H8wPvzoJNzmsOyIR2YfatV6sWD_4Oh352rCbn1QXYtSEfTGU1eA_-mPlVRoGSE9Qo05PJegCbq3YLRc5kCNVX43EOU5vjF2JKjfQJtBw4YpyJoWCvxQ==&xkcb=SoDB-_M3a2OjsratgJ0KbzkdCdPP&p=5&fvj=0&vjs=3
6,Software Engineering Manager - Tesla Energy,Tesla,Not Disclosed,3.4,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BkX03mv_qGbDFMol2YHqLRvzzvm2LmpzMO_FcYL_FtJlnJTzsjtFTdelRG5HbGrIfsBCDo8hsw8uFt2wycla9OVKTuGiJNZVDryvsiQ5dZ05bMXcX7mfWR9VWCfyPinzcJV2gv-qWepkwrnbdpKvwakkchbi4CsTYdczHwICPgRnG_oCJ3Y7_drH7nr9jgZZe4K-rsIIssEQZqgoBHJq3fC3h2Zigv-mF3-KiKP6sekjYCt2cv59PK7ag3jG-JMKsCEBxICO-Ljt-BovMyDDpD0N0Y2jbz8qnghUyH7Jc8OaZMOKFNK8PzY7IPSTc6BM0GtqcuPrgZp3EBwZ0Oj5JrZl7Sgpy0VOqA2qSlMx37VV0kizpbaH3kMcFW2rggc696cNJJ4sAUemFs9uMpknZF1DxVCbQbvYzGElJbixXn2WEUtktk12SK00HJRaE4-YepkSsxlGW0Db9lTcdunoUdArEPjLmd9St7xZlEmRtV6A==&xkcb=SoBc-_M3a2OjsratgJ0JbzkdCdPP&p=6&fvj=0&vjs=3
7,Lead DevOps Engineer,Infosys,Not Disclosed,3.9,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RWd7QYAIoobc2pe2PvbDUdF8X494Nv6v_3t29K9f7TgdmTRw6WAQ3ZFBMtIPl2QzYHrGR2kQcTMj9BZVHb7SfzTtOexAbZdHzSWrBK4iF_bTP8k2WqsVUxuVPrZoIAv9pGO2O_o_6Zc7LFP9aXXwbxqJ4eP-3OrWUWxaT_kGxE_QwvicyLKZfOcr5Z0izuQG-veuvxzNaWKgWGY9oKNT1e1WQ_03LRf0KZWjkAIXSprc0bLsTrhsdFKustEWAktgEUoQ7eXMdoyZpUPQ5yeS8_pRZ4LfBUsyuIX8b9nk1H-ljJe05F6mqPwYQMYM50-qGVkrOvrq_XppwGpW9NwEmQzLwnugIc87K8Yv37G3azQ_CMfQMmPZYpDV-Nz6BqgDQ9T2-8OhuHrSaiQt3EIpilW_en8hj-62bNVcbFr9UPkd1VE-bk6GzEQLR0PDCq3lU90VmNWTArflXaA0aTWrNcWTpCCaNBC0dHNMkTE1KDwav4G2d-4RDz4=&xkcb=SoDo-_M3a2OjsratgJ0IbzkdCdPP&p=7&fvj=0&vjs=3
8,OS Performance Engineer,Apple,Not Disclosed,4.1,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BvKrLyj5gPmtZO9T8euul8TCxuuKNOtzRJOomxnwSEodTz2Bc-sPZlfjQ_T0_d8xqwzcbHKgHc4Qd8ZnygTc5msdQhEmJzvfb30hbare4dgKOZ8aoNKghlHMpzWzJp8i-S6bXqL3xAHjIAUh_wj1_PbK7GzA8psEcqE9hTSkniyhX6bKVqmnit6VsMUUm8aity2bjHwtycjb3nFo_ttQPA18DAHcXcaoAC5tUdRHa682ilde8eiZU0RrmJyIea5t8Ag_ZJbj6OrogI0pu8wsMtiA-Co9c4ehzwUofSyK-3Pt_mxGnkyrWOPup_uY7yXPJI2tBfwjM78DjXLsPBN357ZNxOenvCPaWfg5zll4n9eCaW1HUU_x1JBmCm9d8w1Xd-X73WTucoMsgnKtmRMifYxJUrdrmr-Hf9sRYNvb2Qqt2dfbPMf-oZjTlnQ4J7zhM85_HgpjXfCRlmWNc1UOyU_06DxaST1qf5hdqCm_8TkyLiWtjHzHs1zcYsAWRkPEINpJbqDAXgNgXOpRXt9Re4xf8xIL7bly65_sby-QCByAzeN9aBvA1p2zpmcaKl-QvhOlDbP8hv5Ds4D6H_0Y2SWzwbr37MiRV5EoN2K81-Ap3x9o2vaFRBDJpbJ1uLinas_91eptRTC18RpAsAckatPGR7WGa0JRZp__B6_WHWP4Evu1hSzNCy7kRu-yH8_0Z1hC1fFtB2eULp_flW8R1SepcFzgvyOgkMjDni80kdGtypSn0dIJgUmNhS4cd4Mf2jQAlq7Ta59kSIzq7dgpvf0Tny3Gv65ymjelSZnqALgU9MYekNGMAGmJW3MeuF6yUf59SQPB2zsFSznSs9TI4Mck1Vyi2BVQoDgLSJUHoBZALCv_mOyjTVibPie6tlAHXuXT6DwPyCNWXveCtgkKQ0ctz1SYo8NjfLiFBdaBzY2PuHoYH7_oSkCmB1cAX68qX_xaIE87ptvwHUSLKMnoxxGwVJiQRVUJjZNIdt1ItiDan-otF49yzs&xkcb=SoBm-_M3a2OjsratgJ0PbzkdCdPP&p=8&fvj=0&vjs=3
9,Lab Technician - Actuator Prototype Assembly (Tesla Bot),Tesla,$25 - $40 an hour,3.4,No,https://www.indeed.com/company/Tesla/jobs/Lab-Technician-46d6f9b2279fda09?fccid=86e9be6ce380173e&vjs=3
