,Job Name,Company,Salary,Rating,New Job,Apply Here
0,POSTGRES DBA,Vindicia,Not Disclosed,3.8,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AFWBoBK8ah6ecUNbquEzmTV1SorK2wJ3OWbvQn99W0OGiceu_lAir_BPeDi7WbVUXnortiPdNOVLkk01eTC_xNMXdtJf9eUSzGxX9ibvRP5PPe4pf5BNKe0P1j7Ruw28JYFvaL6nIyIRagLEvfqK8BHFk2rFk1GF7XNw530IBbjOLLaThwWT6hOR1D8PBZxtn-i7Ac8f4qk7Uwqro7lZjqkB9oGnM6Wx50Z12kzg3JczOoX1a9nSS38vh-vMG8J3E3uGErpLHLXgnUal4MbRQCM-cis_4KHu9U-dQvLM5Q4eYAU7qsYdLpRBqpMYsJ-bXuxIOQaY3wPnrq5Q2Fzw7FxgEGIP3p0nSmQGakbWZ8kZcz1t8PZ8T1eWlbf0TkUsGzkLNhgO_Y29_CKngHnilVIgcraGLdGYdrNnIj7AzXyRMBKFE-VCKDMTOcHZh_rFSnegqjnS8-E4xn5hZA4Nbc7LE3oPKhM3VgShBcdGI8NQ==&xkcb=SoCE-_M3ZC2lRuTWlh0LbzkdCdPP&p=0&fvj=1&vjs=3
1,Image Quality Test Engineer,Meta,Not Disclosed,4.1,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DYl4UJW4r1Vl7FEn6T9F-rD9lpC-0oMJVSiWjK_MGUd8e8cHXcpv6KPyjLHZEfqkXwCrjci5IV6QKzSTeRHQNTVsqjdU2uPJajMZx3dP2BjsadguSsGyPKHXwoSMxU8i1GwAs5S04rhd52d_bTOsXWumxz7e828wNMsJJiItcohFp7QVTSgEchV0Ins4CWlYiph-mGWbqLwqeCras54wG9EhtOR_UFRKnCS2rs8VvXsS9ogyvPeWKpCa6ebmcZCjYNYJ_nel7qVtK6WG8ON5qYlmByqswVQbJgbV4yhOV-qhFO7txR2pAIGJJcCen3SA7xI4QkAUJY0LXSbQSM9SmAOgRfUWEIYF1KGLoVTiYDL3qm6hWkgfNV4V_A5xCwgs2YQKIQdkrg74ySd0noHu8JLsB-LJ1AZMmJeOerBIEr26AEcVHvaPPuK4EBb-aoH0jLbynwlUpCR4QL9CbNCNaj_GocoakxfJSl3sDehN4_5LDzP0FbbwkDdCbFqu6H_WsBiU3dd-XEd0bsM9c6DbKQkFiY7RZkSDeNembGbOAE9Fh_6n0BGNHBqe4e5i03JQ80hJPpvG1_M6iCPuGbBeKRnhVrOOOXAvh0Bd8d81KwEfVE1Z_HIHFAfthzmgBwwuynfY09wLyOJ6bdLebW87-L0WstoIzG4AHoFFk4IgDA1lVMahOyu9z2Xb79Z4gEGi8SYCsXrJ87gSfZJ3QuSJjk0Z6jXwlp_pzExVPfXykzufiHVu_foujt_3TfNyj2KXveMbNi6e4vVe_Mp11SXR31K0EjyHjbSkrVO33Akku8YF3wKryJiMqLsAZebFf06pnQ8eKh4cKGEslpLQuP0xBs2l4KNDRk-gNtnTXXqHzy1aB6E5uyhpGcRi4aQQWdswCas3z2akZ6ewIVqB0K6idw4il6-NliG781R0_jPZyWwbdiLDE1HfrvDN-z7pxzGKALgcxdr351l30Uw7T_X2OSJUIq0AMScR2t14Y1YC-Nd1EA_hO6jWXBnelIHe_lJaU5mW44-1tz4Gwv5Lau32I8s-2j2x5Iak8BWZwbYSp2GL_N0UhAETQ45M1zR0LRAEmdHE6sepFtEbgnQvBwtgSv6tncdEX13TI=&xkcb=SoAw-_M3ZC2lRuTWlh0KbzkdCdPP&p=1&fvj=0&vjs=3
2,Linux Admin,Infosys,Not Disclosed,3.9,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RWd7QYAIoobc2pe2PvbDUdFdpvK_7R7P_8qowzIsj_JxCNzaVjkmv1Ln5MI6zaxNk0sVFL3JmcsoN_UsxYL5WNmtIIformnT2dN5YKeO4lb5DPkZK8RF-VLOn8y0XGWY9QB9AoHlMLEswV5FDkh0uTHQalwyuTTkZp2a3W1kftn1VaXjmRMLUalVtJYZdmVHfCjwvxs_i7Jg5eMqS7FnUNhCcGglqAdf4_IBqDGUg4njXtOgkB2eBEOv9weiaEYlyL6IFtkKeGQGzaa9lG6FSQ2CG52xcnymlhI0MYR793qOhR9syRnlOm64_TaWLMYiJxmLiVfVdUK20u_0t6Rok5TajiXAZPb1nKIqnBXtVjbpHr2nfFtQXmik18g-tQFjPUzGwfVMQoh1lWtkreVrV_mn7YQ236uD3YaOwv65lrBC4Q04LJcSxB9FUuWAYhUJq7quVEDNc5EtKwTziEa_wqz9oNo9kxqVtR8L-nJq9tWQ0DOGTh98lmmAXIYb3EO2ZA==&xkcb=SoCt-_M3ZC2lRuTWlh0JbzkdCdPP&p=2&fvj=0&vjs=3
3,Python Developer,NexWave Talent Management Solutions Pvt Ltd.,"$100,000 - $110,000 a year",N/A,Yes,https://www.indeed.com/company/NexWave-Talent-Management-Solutions-Pvt-Ltd./jobs/Python-Developer-127bdaf856647529?fccid=b5a838e2eb303c90&vjs=3
4,Senior Engineer Source & Mask Optimization,ASML,Not Disclosed,3.8,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_DDXJpBmDjNhNk0SonxKsswszHAivHatKsF66mYTBckqD-QpN2x_E4eeurlOTSrnOiCkMA5KRdrDCjeBCFcEWT6nEsLsQT_b9AWDthHQr37AQ2WZvfOV7TBCWQs38VDzdoZ2zICpP1v-ucg4j8V8BunsOQe2SD9G3IOqDh6anr7lDVncPs1QmJcfUcXHaqocCEP9-DCsqK1HTmpV4gXZ5gLkOqs5Rn3RWbr_HJ5qBNnYSRf2kLHKePMNlc3oY6D8YUwpb7Gq9eV_C5M7zg5Pgz75e4b7r0yex-l3pUhUQIWBRZXLeDD76qUKDWaQ9Ubkwf0AUQjOWbgl7eo5oF4b1yw-yxswiDoXoFLgf_wNorsuZFELZ19TVbwRWdM3IUfOfXoUFRGZPJvQGiqZbqQKwCzFOeVNXs1A-PXDoMO7nC-BNMeObx1dGNeO_zVymXPJJ5_fggUClXLzGr8gwf-xKemlvdMlEOf0CBa9HQeVARB2T6P8RNRB0WbVAsgeKM3GQ2AFSmU9MKIRSdkKxbVPxOmTfzorBs2AZd4J_DKaOaD7YITYkWZY_gsPaAv77B1CpaVXBnyQuPVI-v79cytyJI6wIaLRbFw0Jbx5y1cpZ7-R3xg86wrbtHhTyrJ89h4t5svA0ZVLtbZE0C-e5p-pTazhXyiyoYxdXL6USlRMja4Lp2SwF5_254Okhpv-CMylXMvk8G3Z1oug9s0A0ghagZ6BHuY4nV2-v7SvmRRBgAgu9ButIZpc-2mFl5zgk1bJLOtGEr-nuWMRDItGRiD6xntwOvNMtCp2SG-cHWbBEvlgaZHGgQVwUZqCHfGmxSUU=&xkcb=SoB1-_M3ZC2lRuzWlh0KbzkdCdPP&p=4&fvj=0&vjs=3
5,Python Developer,"Computer Enterprises, Inc. (CEI)",$60 - $76 an hour,N/A,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AVVnl_N3xmP3MApcGA3sr6MLnz8P423WWILI1WvbjE8Ry71v-lom9NKs8rBQiPPSdHTTlEQ0IFW9HJjpx5kJF7ZAnQXRuEvlyz5USWL4nlyCFGFmOo6-iMX276Iw5wnytoSNhDYx5U_urUo_RSOPq1FjWXoJYa5mXMJJklfh8oMT973JHRB4d8U9NmVbUTM_SMVVB-ToK2Qa9fSQh97RorMsyX6xFY8-5fk1ue2MmCFwwlh8R0KgRJ-VXV7XCs5mGNV_zCoIhbvA4jXSsV10l-fxgEQ0NhVC7KvPEWSqbq5PIAqy07pw7Nhfbv9KsWWq0h3a5EGL1PaIviV9Q3VuVlbTBS-zJdfrlgvAhSagspOb_aaeWqdzW5nTyCNKarTzrutLJiqc6tTFwpnRDIaqgxLGomBcnFAUZFsPPfsBsqBIRTSo6XxCOuBqE-uml1A2YLfngC6ApWGUCNAv87DRtZlvuKm6DKE2kiAipG0XEQoTKDim-QgXaw&xkcb=SoDo-_M3ZC2lRuzWlh0JbzkdCdPP&p=5&fvj=1&vjs=3
6,Python Developer,Veridian Tech Solution,"$75,654 - $180,527 a year",N/A,Yes,https://www.indeed.com/company/Viridians-tech-solution/jobs/Python-Developer-7d31e694eb6281cd?fccid=7009e2eedf2b72bc&vjs=3
7,Python Developer,KWS Pvt. Ltd,"Up to $130,000 a year",N/A,Yes,https://www.indeed.com/company/KWS-Pvt.-Ltd/jobs/Python-Developer-a1007b87c4eb4cf4?fccid=eb6d234ae6e554eb&vjs=3
8,Lab Technician - Actuator Prototype Assembly (Tesla Bot),Tesla,$25 - $40 an hour,3.4,No,https://www.indeed.com/company/Tesla/jobs/Lab-Technician-46d6f9b2279fda09?fccid=86e9be6ce380173e&vjs=3
9,DataOps Contractors (onsite) Urgent Requirement,Alpha Silicon,$42 - $48 an hour,N/A,Yes,https://www.indeed.com/company/Alpha-Silicon-LLC/jobs/Dataop-Contractor-Requirement-82b46df329eddae8?fccid=4a03f985058d8284&vjs=3
