,Job Name,Company,Salary,Rating,New Job,Apply Here
0,Entry Level/Fresher Software Developer,HCL America Inc,"From $65,000 a year",3.7,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARIJ2Bo9Ne0EtqbN9FDl85baaqpD5sXJYF-05mq0UjEbqqdvOLv1_InxclDbXshHFyNyhuvrq7_nAWaQkthVLb0L1spys6-P-gU87LTIeLlJqks52E_VSFDR2EjxUX7c06d19vdlpx8ym_rfnYB9NBprGoqHNuBLpCGg1I-s9cesL9-OpYRTHuF0vqUs_0VS0mjhJx9QFsT4Fmtu2AdUMNW1RYS7N1km6wXg4Obv0FhNZPIauQ390C55VaPSfCak8iasUOU8UoVzSJk9wpUIT1YeSRS6r4i2BKY4y_clmoT2HG7LAYLuKK3uXKsklwRj8qKDZntYz2LN20BE-8X1vwnBkbjLijvmFkz9WIHPL_hJ3xcmSiIb1tvN8GMj4xkrrSrtJGxLP6o7EECwY1EpBHzqb-iHpFBfo500MUI98z8MIbgrF_OPz0dnyqzR7_E0ndCRpn_gIFNUYDSuOhUPtA0InSsUR3Mc9KIYBGfjyaTpAsVzCTdWSIAqH32XXN9Tiib_Y19yfuVw==&xkcb=SoAD-_M3bzRRHzAfX70LbzkdCdPP&p=0&fvj=1&vjs=3
1,Python with AWS and Infrastructure Experience,Emonics LLC,"$140,000 - $160,000 a year",4.6,No,https://www.indeed.com/company/Emonics/jobs/Python-Aws-Infrastructure-Experience-58b9d03affe66e06?fccid=b3b4a6a45c149841&vjs=3
2,Telephony IMS Tester,KTEK RESOURCING LLC,$60 - $65 an hour,3.9,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A1baW5GuICkPYHmSvzgDek-1Lu4ddH0UJ3PE1JD7bc0DnT7StmJUFaqkyzynuliOvcrDL0xWaskA5AV-wWLMCwXwi5Gv0qtdedh4G0hCWFUl0z9fjGZZDERNscpTTZwRvJey33cyVXnu6nIWI_i3LCbcv-n4laTVadBA8GEGY1IClFTtsZl6U4iuVktgfxL-xCdoTi2sU_hvgvQJWq1tw42uFmMeBH1g8DTb-AY5AUBFIIMmlBvvQSk8uvmxGli5-qvrdpS2D6ouRc3UhdpLlDw9sin-3eu4z-ZU_MhgMH7OcU1u5b4vmg-oFfCVSkoQqNe7mCMt0oZuBVfGaKnW9e7O90H1VjDJIExU8Y8JCwcGnt36Smx2R37I4_j-fCy0VGuRz4Gaszjkyt70Z7sfjdReiV3PZ7tlK_OAsnThvBjCEEbq1KvgA4sUDseld141pSocOM5W5ZoJi6mOc-oFxvKYiKaMEk4-p9sbpsOubmKQ==&xkcb=SoBG-_M3bzRRHzgfX70LbzkdCdPP&p=2&fvj=1&vjs=3
3,Data Analyst,Milestone,$32 - $40 an hour,N/A,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aic2FNJq_PpCkQ8C7f8kkQfiNvDILPGYFPhiImqsOhVE9kIE0Hm27a4PIqhs3A6nW5lbXZjtm9AG9d_pBFS-wvEPLG0U4rc4J9VNQLbADkyS_YTKuiOQXoP0WnS0vKB0YKk-YT73jsI8E75b-1deTTHxdx0CahDye72XkQR9jz4aY3J-nEBLPU3DlLTGfN7O3g4uDkWBl4Og0kz1M9MryhnM6ZnySn5WGIVpZMtz1MHK3b46955s6-3VBh-1b9Ky4N9rFbPm4CnzMnxxpWGCe5jyvJXR-jHxmnscSvwbqW2ns6IKKaxS2z6KKjr_GhBykTnszZermIctl3POkUIUpflXNbMWO7klzvshuXF15IzdD7L6MfP_cbMXXenbJd_Wr4A4x5-k_EYgNpnYuyYmkvwptz_mhUhmimupsnPXZzE52omTlLpiS89o_w19XlcjnbSsidIliqmZfuAZ1Tyoa8z2s7rECkdX_5_ey88gbaYw==&xkcb=SoDy-_M3bzRRHzgfX70KbzkdCdPP&p=3&fvj=1&vjs=3
4,Data Analyst - SQL/Tableau (Remote),TargetCW,$45 - $55 an hour,3.7,Yes,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6TktYCN0VG50lat1bxG6ZYGRoV5Av1OVF6J5hGgtfkbuLupBOf1hB4AfOK0qYtBcwk9whjeB4MQdlt9Uge2Ml6msvNuVxsFV-GMPxPEia6cyaJWMEi1udgjiNyibmDrc-KdprhTPEwle0WZLJwHdeGRiz6k9ZoHuzS1iqDi2hNxdaDLOn3nG7z8nItknIwSQKLU4CAVIgWUPnPJ7ztVzXRXkpWfuTgP6hpxCv2LAeJZd0EGlxH2WnzLuHZBsflf72HyhNjc-qaxi5QnW1-xnyHgjd10qpv-458pI_ySvJy4wlEYYUfOCrcZcTErwgaGTiRk7Ne_IrWLhg-d9sG62FHUvZRJ2Gqf2REO_UtBjNK6AljEyB99EI8YPaqSV5ofGEvwKFJ9gkS0c1f-G7uSVdneVkryKXTiek1S1goR7apTj8y-U4mzh_hoUVrx1q5InTNOehakhAgPXGkNRSZk9HljOAN-oWNee_IylXlWXDbDQ7m9Q08sNNVrXJoC9Yl0hsN9M2DLc8kHOGo2A2dvwnbBAsrdAdV7-cr8LiNzpmJRzGsMnLGCI1S2JVSglSun4fx892FiKqMod2A-dycrg2uMGKak5vQFzpeKTNgoKfejIcPoBQZbGb7mpWdr94DAGLZuPhUelwYMsowiYpG9vLLHzKSasuGOyvE-kjhCmzyO0jpn6njFDwxdhUDn3kNXtkwwYpNntN2w==&xkcb=SoBv-_M3bzRRHzgfX70JbzkdCdPP&p=4&fvj=0&vjs=3
5,Python Backend Engineer,Career Soft Solutions,$60 an hour,N/A,No,https://www.indeed.com/rc/clk?jk=6b263c33ac048f48&fccid=fb446b6b4abede93&vjs=3
6,"Python Developer - Santa Clara, CA (Onsite from Day 1)",Teamware Solutions (quantum leap consulting).,$55 - $60 an hour,N/A,Yes,https://www.indeed.com/company/Teamware-Solutions-(quantum-leap-consulting)./jobs/Python-Developer-2e491fd1819e5841?fccid=49dc291b3e6eddef&vjs=3
7,Python Infra Engineer,Seaplane IO,Not Disclosed,N/A,No,https://www.indeed.com/rc/clk?jk=2677d6aaf936a570&fccid=f2e752d4e46bd7d5&vjs=3
8,Data Analyst with Excel and Python,Formac,$30 - $62 an hour,N/A,No,https://www.indeed.com/company/FORMAC/jobs/Data-Analyst-Excel-Python-f808eb0b31e8468a?fccid=9700547e24b48fe2&vjs=3
9,"Threat Analyst, Adult Nudity & Sexual Activity (ANSA)",TikTok,Not Disclosed,3.3,No,https://www.indeed.com/rc/clk?jk=ea93db9c80d0046c&fccid=caed318a9335aac0&vjs=3
